,F1-score
Stack-DT,
Extract Class,
GR,77.71
NoFS,80.447
PCA,77.241
Extract Interface,
GR,79.025
NoFS,85.764
PCA,82.118
Extract Subclass,
GR,84.125
NoFS,86.794
PCA,82.492
Extract Superclass,
GR,75.294
NoFS,85.77
PCA,83.711
Move And Rename Class,
GR,90.588
NoFS,84.638
PCA,83.933
Move Class,
GR,94.509
NoFS,94.681
PCA,88.645
Rename Class,
GR,74.865
NoFS,86.883
PCA,85.228
Stack-LR,
Extract Class,
GR,85.803
NoFS,86.936
PCA,84.564
Extract Interface,
GR,87.968
NoFS,90.502
PCA,88.434
Extract Subclass,
GR,89.36
NoFS,91.863
PCA,88.901
Extract Superclass,
GR,88.855
NoFS,90.914
PCA,89.051
Move And Rename Class,
GR,92.207
NoFS,92.76
PCA,89.426
Move Class,
GR,96.072
NoFS,96.452
PCA,94.674
Rename Class,
GR,91.563
NoFS,92.67
PCA,91.931
TBStack-DT,
Extract Class,
GR,79.931
NoFS,82.217
PCA,76.939
Extract Interface,
GR,82.949
NoFS,88.473
PCA,82.958
Extract Subclass,
GR,84.708
NoFS,88.411
PCA,82.637
Extract Superclass,
GR,82.932
NoFS,87.587
PCA,83.127
Move And Rename Class,
GR,91.298
NoFS,92.997
PCA,84.812
Move Class,
GR,95.447
NoFS,96.245
PCA,90.595
Rename Class,
GR,86.859
NoFS,91.074
PCA,85.696
TBStack-LR,
Extract Class,
GR,86.386
NoFS,87.95
PCA,84.55
Extract Interface,
GR,88.714
NoFS,91.758
PCA,88.461
Extract Subclass,
GR,90.082
NoFS,92.125
PCA,88.671
Extract Superclass,
GR,89.138
NoFS,91.95
PCA,89.031
Move And Rename Class,
GR,93.584
NoFS,94.814
PCA,91.003
Move Class,
GR,96.714
NoFS,97.426
PCA,94.226
Rename Class,
GR,91.626
NoFS,94.315
PCA,91.25